timestring,pH,Temperature,PAR,LightOut,Actuators
date,,°C,µmol/m²/s,%,
26.04.2024 14:01:51.720,7.34,21.7,339,50,7
26.04.2024 14:02:47.369,7.34,21.7,350,50,7
26.04.2024 14:03:20.684,7.34,21.7,362,50,7
26.04.2024 14:03:50.401,7.34,21.7,374,50,7
26.04.2024 14:04:21.320,7.35,21.7,386,50,7
26.04.2024 14:05:03.914,7.37,21.8,398,50,7
26.04.2024 14:06:15.845,7.38,21.7,409,50,7
26.04.2024 14:08:28.457,7.41,21.8,397,50,7
26.04.2024 14:09:22.786,7.42,21.8,385,50,7
26.04.2024 14:11:08.101,7.45,22.0,377,50,7
26.04.2024 14:11:16.565,7.44,21.8,378,50,7
26.04.2024 14:11:23.882,7.44,21.9,379,50,7
26.04.2024 14:12:37.513,7.46,21.8,391,50,7
26.04.2024 14:13:44.611,7.48,21.8,402,50,7
26.04.2024 14:14:44.223,7.49,21.8,413,50,7
26.04.2024 14:15:03.940,7.49,21.9,418,50,15
26.04.2024 14:15:28.740,7.50,22.0,425,50,15
26.04.2024 14:15:31.688,7.49,21.9,427,50,15
26.04.2024 14:15:54.371,7.51,22.0,437,50,15
26.04.2024 14:16:39.300,7.51,22.0,448,50,15
26.04.2024 14:17:09.484,7.48,22.1,459,50,15
26.04.2024 14:17:50.400,7.40,22.1,472,50,7
26.04.2024 14:18:16.700,7.37,22.1,483,50,7
26.04.2024 14:18:34.947,7.35,22.1,495,50,7
26.04.2024 14:18:53.480,7.33,22.0,508,50,7
26.04.2024 14:19:15.130,7.33,22.1,519,50,7
26.04.2024 14:19:35.648,7.31,22.1,532,50,7
26.04.2024 14:20:23.144,7.34,22.1,544,50,7
26.04.2024 14:21:35.992,7.33,22.1,556,50,7
26.04.2024 14:21:53.924,7.33,22.1,570,50,7
26.04.2024 14:22:21.550,7.34,22.2,583,50,7
26.04.2024 14:22:25.107,7.34,22.2,605,50,7
26.04.2024 14:22:26.905,7.34,22.1,620,50,7
26.04.2024 14:22:32.773,7.33,22.1,638,50,7
26.04.2024 14:22:34.423,7.33,22.1,667,50,7
26.04.2024 14:22:36.456,7.33,22.1,682,50,7
26.04.2024 14:22:38.905,7.34,22.2,646,50,7
26.04.2024 14:22:40.588,7.33,22.1,624,50,7
26.04.2024 14:22:43.390,7.34,22.2,606,50,7
26.04.2024 14:22:49.221,7.34,22.1,593,50,7
26.04.2024 14:23:08.770,7.36,22.2,607,50,7
26.04.2024 14:23:48.936,7.36,22.2,619,50,7
26.04.2024 14:23:53.868,7.37,22.2,633,50,7
26.04.2024 14:24:00.201,7.37,22.2,649,50,7
26.04.2024 14:24:04.951,7.36,22.2,664,50,7
26.04.2024 14:24:07.668,7.37,22.2,684,50,7
26.04.2024 14:24:09.536,7.36,22.2,655,50,7
26.04.2024 14:24:12.517,7.37,22.2,639,50,7
26.04.2024 14:25:05.490,7.38,22.2,627,50,7
26.04.2024 14:26:15.197,7.39,22.3,641,50,7
26.04.2024 14:26:20.197,7.39,22.3,656,50,7
26.04.2024 14:26:24.464,7.40,22.3,669,50,7
26.04.2024 14:26:29.530,7.40,22.3,684,50,7
26.04.2024 14:26:33.230,7.39,22.3,704,50,7
26.04.2024 14:26:34.796,7.39,22.3,738,50,7
26.04.2024 14:26:46.394,7.39,22.2,764,50,7
26.04.2024 14:26:47.928,7.39,22.3,809,50,7
26.04.2024 14:26:49.128,7.40,22.3,860,50,7
26.04.2024 14:26:50.545,7.40,22.3,897,50,7
26.04.2024 14:26:52.328,7.40,22.3,916,50,7
26.04.2024 14:26:54.790,7.40,22.3,960,50,7
26.04.2024 14:26:55.513,7.40,22.3,994,50,7
26.04.2024 14:26:57.510,7.40,22.3,914,50,7
26.04.2024 14:26:58.678,7.40,22.2,849,50,7
26.04.2024 14:27:00.812,7.40,22.3,907,50,7
26.04.2024 14:27:02.780,7.40,22.3,948,50,7
26.04.2024 14:27:05.210,7.40,22.3,880,50,7
26.04.2024 14:27:06.411,7.41,22.3,837,50,7
26.04.2024 14:27:07.977,7.39,22.3,803,50,7
26.04.2024 14:27:09.411,7.40,22.3,777,50,7
26.04.2024 14:27:10.977,7.40,22.3,747,50,7
26.04.2024 14:27:16.763,7.41,22.3,781,50,7
26.04.2024 14:27:18.130,7.41,22.3,823,50,7
26.04.2024 14:27:20.493,7.41,22.3,800,50,7
26.04.2024 14:27:22.243,7.41,22.3,829,50,7
26.04.2024 14:27:28.410,7.41,22.3,817,50,7
26.04.2024 14:27:31.610,7.41,22.3,768,50,7
26.04.2024 14:27:32.410,7.40,22.3,733,50,7
26.04.2024 14:27:34.226,7.40,22.3,709,50,7
26.04.2024 14:27:36.927,7.40,22.3,693,50,7
26.04.2024 14:27:46.392,7.40,22.3,712,50,7
26.04.2024 14:27:48.342,7.40,22.3,737,50,7
26.04.2024 14:27:50.210,7.40,22.3,754,50,7
26.04.2024 14:27:52.325,7.40,22.3,790,50,7
26.04.2024 14:27:53.625,7.41,22.3,843,50,7
26.04.2024 14:27:54.809,7.41,22.3,917,50,7
26.04.2024 14:27:56.792,7.40,22.3,792,50,7
26.04.2024 14:27:57.875,7.41,22.3,745,50,7
26.04.2024 14:28:00.658,7.41,22.3,719,50,7
26.04.2024 14:28:03.292,7.41,22.3,704,50,7
26.04.2024 14:28:06.743,7.41,22.3,684,50,7
26.04.2024 14:28:12.559,7.42,22.4,662,50,7
26.04.2024 14:28:15.542,7.41,22.3,645,50,7
26.04.2024 14:28:20.459,7.41,22.4,632,50,7
26.04.2024 14:28:44.740,7.41,22.3,646,50,7
26.04.2024 14:28:47.641,7.42,22.4,669,50,7
26.04.2024 14:28:49.174,7.42,22.4,695,50,7
26.04.2024 14:28:52.158,7.43,22.4,683,50,7
26.04.2024 14:28:53.874,7.42,22.3,708,50,7
26.04.2024 14:29:01.339,7.43,22.4,756,50,7
26.04.2024 14:29:04.105,7.42,22.4,716,50,7
26.04.2024 14:29:05.622,7.42,22.4,692,50,7
26.04.2024 14:29:13.289,7.43,22.5,731,50,7
26.04.2024 14:29:14.473,7.42,22.4,785,50,7
26.04.2024 14:29:15.806,7.42,22.5,833,50,7
26.04.2024 14:29:18.206,7.43,22.5,785,50,7
26.04.2024 14:29:24.473,7.42,22.5,829,50,7
26.04.2024 14:29:26.223,7.42,22.5,784,50,7
26.04.2024 14:29:27.605,7.43,22.5,741,50,7
26.04.2024 14:29:28.957,7.43,22.5,709,50,7
26.04.2024 14:29:30.938,7.42,22.5,693,50,7
26.04.2024 14:29:33.739,7.44,22.5,710,50,7
26.04.2024 14:29:36.888,7.44,22.5,743,50,7
26.04.2024 14:29:38.290,7.44,22.6,802,50,7
26.04.2024 14:29:39.473,7.44,22.6,871,50,7
26.04.2024 14:29:41.987,7.43,22.5,809,50,7
26.04.2024 14:29:44.456,7.43,22.5,857,50,7
26.04.2024 14:29:47.907,7.44,22.6,840,50,7
26.04.2024 14:29:50.823,7.44,22.6,814,50,7
26.04.2024 14:29:54.550,7.43,22.5,767,50,7
26.04.2024 14:29:56.520,7.43,22.5,802,50,7
26.04.2024 14:29:59.360,7.44,22.6,847,50,7
26.04.2024 14:30:00.253,7.44,22.5,927,50,7
26.04.2024 14:30:01.437,7.43,22.5,1018,50,7
26.04.2024 14:30:02.605,7.44,22.6,1036,50,7
26.04.2024 14:30:05.753,7.44,22.5,912,50,7
26.04.2024 14:30:06.888,7.43,22.5,867,50,7
26.04.2024 14:30:08.638,7.44,22.6,814,50,7
26.04.2024 14:30:11.720,7.44,22.6,850,50,7
26.04.2024 14:30:13.286,7.45,22.6,776,50,7
26.04.2024 14:30:16.503,7.44,22.5,698,50,7
26.04.2024 14:30:17.720,7.44,22.6,672,50,7
26.04.2024 14:30:21.530,7.44,22.5,656,50,7
26.04.2024 14:30:23.503,7.45,22.6,630,50,7
26.04.2024 14:30:26.354,7.45,22.6,606,50,7
26.04.2024 14:30:28.753,7.44,22.5,586,50,7
26.04.2024 14:30:31.403,7.44,22.6,570,50,7
26.04.2024 14:30:34.602,7.45,22.6,555,50,7
26.04.2024 14:30:41.300,7.45,22.6,543,50,7
26.04.2024 14:30:51.802,7.45,22.6,576,50,7
26.04.2024 14:30:53.168,7.45,22.6,614,50,7
26.04.2024 14:30:55.190,7.45,22.6,586,50,7
26.04.2024 14:30:57.690,7.45,22.6,570,50,7
26.04.2024 14:31:01.868,7.44,22.6,591,50,7
26.04.2024 14:31:04.200,7.46,22.6,606,50,7
26.04.2024 14:31:12.818,7.45,22.6,590,50,7
26.04.2024 14:31:17.134,7.46,22.6,572,50,7
26.04.2024 14:31:35.351,7.46,22.6,591,50,7
26.04.2024 14:31:40.217,7.46,22.6,573,50,7
26.04.2024 14:31:47.316,7.46,22.6,556,50,7
26.04.2024 14:31:49.516,7.46,22.6,536,50,7
26.04.2024 14:31:53.466,7.45,22.6,521,50,7
26.04.2024 14:32:00.467,7.46,22.6,508,50,7
26.04.2024 14:32:14.000,7.46,22.6,496,50,7
26.04.2024 14:32:39.398,7.47,22.6,483,50,7
26.04.2024 14:33:18.730,7.48,22.7,470,50,7
26.04.2024 14:33:37.312,7.48,22.7,486,50,7
26.04.2024 14:33:41.661,7.48,22.6,502,50,7
26.04.2024 14:33:44.680,7.49,22.7,521,50,7
26.04.2024 14:33:47.262,7.48,22.6,538,50,7
26.04.2024 14:33:49.546,7.48,22.6,563,50,7
26.04.2024 14:33:50.897,7.49,22.7,628,50,7
26.04.2024 14:33:52.280,7.49,22.7,687,50,7
26.04.2024 14:33:53.461,7.48,22.6,718,50,7
26.04.2024 14:33:55.595,7.49,22.7,678,50,7
26.04.2024 14:33:59.394,7.49,22.6,608,50,7
26.04.2024 14:34:00.595,7.49,22.7,567,50,7
26.04.2024 14:34:02.194,7.49,22.7,533,50,7
26.04.2024 14:34:11.444,7.50,22.7,576,50,7
26.04.2024 14:34:13.328,7.49,22.7,519,50,7
26.04.2024 14:34:14.994,7.49,22.7,500,50,15
26.04.2024 14:34:18.762,7.50,22.7,488,50,15
26.04.2024 14:34:34.260,7.50,22.7,474,50,15
26.04.2024 14:34:40.642,7.50,22.7,462,50,15
26.04.2024 14:34:52.710,7.49,22.6,449,50,15
26.04.2024 14:35:18.776,7.50,22.7,437,50,15
26.04.2024 14:36:12.272,7.48,22.7,426,50,15
26.04.2024 14:36:42.505,7.43,22.7,415,50,15
26.04.2024 14:36:58.171,7.41,22.7,412,50,7
26.04.2024 14:43:27.973,7.36,22.8,401,50,7
26.04.2024 14:44:01.654,7.37,22.8,389,50,7
26.04.2024 14:44:31.635,7.37,22.8,377,50,7
26.04.2024 14:44:59.503,7.39,22.8,365,50,7
26.04.2024 14:45:28.752,7.38,22.8,353,50,7
26.04.2024 14:46:04.631,7.40,22.8,342,50,7
26.04.2024 14:48:32.993,7.42,22.8,355,50,7
26.04.2024 14:48:56.926,7.43,22.8,366,50,7
26.04.2024 14:49:13.920,7.44,22.9,378,50,7
26.04.2024 14:49:33.507,7.44,22.9,389,50,7
26.04.2024 14:49:50.640,7.45,22.8,401,50,7
26.04.2024 14:50:01.400,7.44,23.0,408,50,7
26.04.2024 14:50:23.789,7.44,22.9,420,50,7
26.04.2024 14:50:41.839,7.45,23.0,431,50,7
26.04.2024 14:50:57.805,7.46,23.0,444,50,7
26.04.2024 14:51:14.137,7.46,23.0,458,50,7
26.04.2024 14:51:23.269,7.45,23.0,472,50,7
26.04.2024 14:51:28.352,7.47,23.0,486,50,7
26.04.2024 14:51:31.585,7.47,23.0,502,50,7
26.04.2024 14:51:34.819,7.46,23.0,518,50,7
26.04.2024 14:51:38.385,7.46,23.0,535,50,7
