timestring,Person,Notiz,Datum und Uhrzeit,Tage,OD gemessen,Verdünnungsfaktor,tatsächlicher OD,TM: Probevolumen,TM: Einwaage,End Result,Trockenmasse,NH4-N im Medium,Ntot im Medium,Dünger total,CHN,Hach-Lange und/oder IC,%N,Volumen der Kultur,N in Algen,N added,N added total,N in medium (conc),N in medium (mass),N in medium and algae,N recovered
date,,,,, , , ,ml,g,%,g/L,mg/L,mg/L,g/L, , ,%,L,g,g,g,mg/L,g,g,%
07.06.2024 15:15:00.000,refa,"Experiment gestartet, DM6A hinzugefügt, Trockenmasse geschätzt von Phyco-Conical",07.06.2024 15:15,0.00,,,,,,,0.130434783,,,,,,,220,,102.61,102.61,,,,
10.06.2024 14:00:00.000,pfia,"Reaktor gereinigt, 300 ml Probe entnommen für TM",10.06.2024 14:00,2.95,1.00,1.03,1.03,300,14.101,1.59,0.747353,,,,,,,220,,,102.61,,,,
11.06.2024 08:00:00.000,refa,"300 ml Probe genommen für TM, Kultur unter Mikroskop gecheckt",11.06.2024 08:00,3.70,,,,300,13.638,2.14,0.972844,,,,,,,220,,,102.61,,,,
12.06.2024 11:00:00.000,pfia,"Reaktor gereinigt, 200 ml Probe entnommen für TM, 400 ml für CHN",12.06.2024 11:00,4.82,,,,200,34.126,1.13,1.928119,,,,x,x,10.73%,220,45.49,,102.61,299.55,65.901,111.39,109%
14.06.2024 08:00:00.000,refa,"Reaktor gereinigt, 50 ml Probe für TM, 250 ml Probe für CHN",14.06.2024 08:00,6.70,,,,50,22.52,0.75,3.378,,,,X,X,10.86%,220,80.67,102.61,205.22,86.25,18.975,99.65,97%
17.06.2024 11:00:00.000,pfia,"Reaktor gereinigt, 50 ml Probe für TM, 250 ml Probe für CHN",17.06.2024 11:00,9.82,,,,50,20.677,1.49,6.161746,,,,X,x,10.54%,220,142.81,,205.22,436.5,96.03,238.84,116%
18.06.2024 08:00:00.000,refa,"100 ml Probe für TM, Kultur unter Mikroskop gecheckt",18.06.2024 08:00,10.70,,,,100,18.569,2.25,4.178025,,,,,,,220,,,205.22,,,,
19.06.2024 09:00:00.000,pfia,"Reaktor gereinigt, 50 ml Probe für TM, 250 ml Probe für CHN",19.06.2024 09:00,11.74,,,,50,16.392,1.82,5.966688,,,,x,x,10.17%,220,133.50,,205.22,433.5,95.37,228.87,112%
20.06.2024 14:00:00.000,pfia,50 ml Probe für TM,20.06.2024 14:00,12.95,,,,50,13.038,2.12,5.528112,,,,,,,220,,,205.22,,,,
21.06.2024 09:00:00.000,pfia,"Reaktor gereinigt, 50 ml Probe für TM",21.06.2024 09:00,13.74,,,,50,19.3,1.64,6.3304,,,,,,,220,,,205.22,,,,
24.06.2024 14:00:00.000,pfia,"Reaktor gereinigt, 50 ml Probe für TM, 250 ml Probe für CHN",24.06.2024 14:00,16.95,,,,50,16.322,1.65,5.38626,,,,X,x,9.46%,220,112.10,,205.22,372,81.84,193.94,95%
26.06.2024 11:00:00.000,pfia,"Reaktor gereinigt, 50 ml Probe für TM",26.06.2024 11:00,18.82,,,,50,14.453,2.03,5.867918,,,,,,,220,,,205.22,,,,
28.06.2024 15:00:00.000,pfia,"Reaktor gereinigt, 50 ml Probe für TM",28.06.2024 15:00,20.99,,,,50,20.364,1.5,6.1092,,,,,,,220,,,205.22,,,,
01.07.2024 09:00:00.000,pfia,"Reaktor gereinigt, 50 ml Probe für TM, pH bei 4.5",01.07.2024 09:00,23.74,,,,50,18.254,1.65,6.02382,,,,,,,220,,,205.22,,,,
02.07.2024 08:00:00.000,refa,Ernte,08:00:00,24.70,,,,13.286,13.286,0.35,3.5,,,,X,X,9.19%,220,70.76,,205.22,420,92.4,163.16,80%
