timestring,FLOW.OF.ALGAE,FLOW.OF.CO2,PAR.1,PAR.2,PRESSURE,SPEED,SUM.OF.WATER,TEMPERATURE,THICKNESS.OF.ALGAE,TURBIDITY,VOLUME.IN.TANK,pCO2,pH,pO2,TURBIDITY.diff
date,m/s,m/s,mW/m2,mW/m2,bar,m/s,l/m3,°C,mm,NTU,ml/L,mg/L,pH,pO2,NTU
14.05.2024 14:50:00.000,18.50116,0.3819444,346.3542,546.875,16.37153,92.35505,2006.957,29.05093,5.711732,0.07250142,75.16725,4.893067,3.389833,6.843823,0
14.05.2024 15:00:00.000,18.357059,0.40104168,418.31598,546.26737,16.086807,91.887289,2006.957,29.007525,5.9803557,0.07242084,75.126665,4.8991227,3.3874893,6.8523123,-8.06E-05
14.05.2024 15:10:00.000,17.984954,0.41059025,482.55211,613.02086,15.854168,90.733541,2006.957,29.117478,6.0473886,0.072368133,76.485823,4.9361971,3.3888236,6.8318505,-5.27E-05
14.05.2024 15:20:00.000,18.079282,0.41232638,394.79168,523.09031,15.961807,91.085994,2006.957,29.129053,5.9432641,0.072730057,74.031236,4.9666959,3.389375,6.8309266,0.000361924
14.05.2024 15:30:00.000,17.515046,0.54021987,180.55555,318.31598,15.430556,89.440599,2006.957,28.521411,6.0662967,0.072608847,76.668397,4.7198213,3.3814141,6.9409413,-0.00012121
14.05.2024 15:40:00.000,16.955439,0.62413192,171.52779,308.24654,15.109375,87.834657,2006.957,27.795139,6.0670813,0.07246408,79.406988,4.7611125,3.3726496,7.0707757,-0.000144767
14.05.2024 15:50:00.000,16.628472,0.61979164,158.33334,295.83334,14.869793,87.00629,2006.957,27.031249,5.9686064,0.072939527,80.137274,4.8763835,3.363341,7.2186019,0.000475447
14.05.2024 16:00:00.000,16.50591556,0.647826622,110.7253156,209.0084889,14.72801,86.59348333,2006.957,26.41782333,6.083989556,0.075446229,79.74282444,4.902540444,3.355874889,7.336915333,0.002506702
14.05.2024 16:10:00.000,16.118633,0.66753467,77.864587,153.38542,14.461806,85.47696,2006.957,25.792823,6.0699815,0.076430498,81.618141,4.9108822,3.3480666,7.4660267,0.000984269
14.05.2024 16:20:00.000,15.493056,0.65480321,91.319448,173.17708,14.005209,83.8574,2006.957,25.393519,5.9592488,0.080587351,84.985593,4.9868194,3.3427248,7.5468012,0.004156853
14.05.2024 16:30:00.000,15.791665,0.63368052,98.611113,186.37153,14.289931,84.66336,2006.957,25.211228,5.9054331,0.085819851,82.186144,5.0299541,3.337811,7.5908419,0.0052325
14.05.2024 16:40:00.000,15.968171,0.66348375,113.71528,213.02084,14.375,85.10898,2006.957,24.881364,5.9929698,0.086409644,79.99528,4.9508852,3.3315098,7.6720048,0.000589793
14.05.2024 16:50:00.000,16.02662,0.71093746,124.47917,235.6771,14.44271,85.26964,2006.957,24.435765,6.0361529,0.08680548,78.169548,4.8988812,3.3271521,7.7727974,0.000395836
